District,Name,OppToBallot,Party,Votes
48th  Assembly District,Sand Starr,OPP. TO BALLOT,REP,1
48th  Assembly District,Sheldon Silver,OPP. TO BALLOT,REP,1
48th  Assembly District,Simcha Felder,OPP. TO BALLOT,REP,3
48th  Assembly District,Unattributable,OPP. TO BALLOT,REP,60
48th  Assembly District,Yanky Vorhand,OPP. TO BALLOT,REP,1
48th  Assembly District,Yidel Pelstein,OPP. TO BALLOT,REP,1
48th  Assembly District,Yitty Frielman,OPP. TO BALLOT,REP,1
48th  Assembly District,Zalmen Teitebaum,OPP. TO BALLOT,REP,1
55th  Assembly District,Latrice M. Walker,,DEM,4276
55th  Assembly District,Darlene Mealy,,DEM,1475
56th  Assembly District,Karen Z. Cherry,,DEM,2698
56th  Assembly District,Tremaine S. Wright,,DEM,3876
62nd  Assembly District,Janine Materna,,REP,1140
62nd  Assembly District,"Ronald Castorina, Jr.",,REP,2365
65th  Assembly District,Yuh-Line Niou,,DEM,2790
65th  Assembly District,Gigi K. Li,,DEM,844
65th  Assembly District,Jenifer Rajkumar,,DEM,1701
65th  Assembly District,Don Lee,,DEM,995
65th  Assembly District,Paul Newell,,DEM,1425
65th  Assembly District,Alice Cancel,,DEM,1108
66th  Assembly District,Deborah J. Glick,,DEM,3383
66th  Assembly District,Jim Fouratt,,DEM,835
67th  Assembly District,Linda B. Rosenthal,,DEM,8055
67th  Assembly District,Eugene G. P. Byrne,,DEM,295
69th  Assembly District,Daniel J. O'Donnell,,DEM,7255
69th  Assembly District,Steven M. Appel,,DEM,1971
72nd  Assembly District,George Fernandez,,DEM,808
72nd  Assembly District,Carmen N. De La Rosa,,DEM,4485
72nd  Assembly District,Guillermo Linares,,DEM,3194
73rd  Assembly District,Rebecca Harary,OPP. TO BALLOT,WEP,3
76th  Assembly District,Deborah McEvilly,OPP. TO BALLOT,IND,1
76th  Assembly District,Jonathan Kostakopoulos,OPP. TO BALLOT,IND,9
76th  Assembly District,Rosanna Vargas,OPP. TO BALLOT,IND,1
76th  Assembly District,Sabrina Kraus,OPP. TO BALLOT,IND,1
76th  Assembly District,Opportunity To Ballot,OPP. TO BALLOT,REF,0
78th  Assembly District,Jose Rivera,,DEM,2236
78th  Assembly District,Ischia J. Bravo,,DEM,1185
84th  Assembly District,Carmen E. Arroyo,,DEM,2154
84th  Assembly District,Jackson Strong,,DEM,1008
85th  Assembly District,William R. Moore,,DEM,972
85th  Assembly District,Marcos A. Crespo,,DEM,2635
86th  Assembly District,Victor M. Pichardo,,DEM,2795
86th  Assembly District,Hector R. Ramirez,,DEM,1383
87th  Assembly District,Pamela Stewart-Martinez,,DEM,947
87th  Assembly District,Luis R. Sepulveda,,DEM,2530
94th  Assembly District,Suzanne F. McDonough,,REP,1766
94th  Assembly District,Kevin M. Byrne,,REP,2663
97th  Assembly District,Thomas M. Gulla,,DEM,3279
97th  Assembly District,Ellen C. Jaffee,,DEM,6200
97th  Assembly District,Ellen C. Jaffee,OPP. TO BALLOT,GRE,11
97th  Assembly District,Thomas M. Gulla,OPP. TO BALLOT,GRE,1
97th  Assembly District,Thomas M. Gulla,OPP. TO BALLOT,WOR,41
98th  Assembly District,Aron B. Wieder,,DEM,2325
98th  Assembly District,Krystal Z. Serrano,,DEM,1632
98th  Assembly District,John N. Allegro,,REP,2027
98th  Assembly District,Karl Brabenec,,REP,2766
98th  Assembly District,Aron B. Wieder,OPP. TO BALLOT,CON,290
98th  Assembly District,John Allegro,OPP. TO BALLOT,CON,38
98th  Assembly District,Void,OPP. TO BALLOT,CON,1
98th  Assembly District,Krystal Serrano,OPP. TO BALLOT,CON,1
98th  Assembly District,Krystal Z. Serrano,OPP. TO BALLOT,GRE,15
98th  Assembly District,Aron B. Wieder,OPP. TO BALLOT,GRE,35
98th  Assembly District,John Allegro,OPP. TO BALLOT,GRE,6
98th  Assembly District,Void,OPP. TO BALLOT,GRE,2
98th  Assembly District,Primilla A. Malick,OPP. TO BALLOT,GRE,1
98th  Assembly District,Aron B. Wieder,,IND,378
98th  Assembly District,Karl Brabenec,,IND,92
98th  Assembly District,Aron B. Weider,OPP. TO BALLOT,WEP,4
98th  Assembly District,Aron B. Wieder,OPP. TO BALLOT,REF,9
101st  Assembly District,Brian D. Miller,,REP,1841
101st  Assembly District,Maria E. Kelso,,REP,1507
101st  Assembly District,Opportunity To Ballot,OPP. TO BALLOT,REF,0
112th  Assembly District,James M. Fischer,,REP,2828
112th  Assembly District,Mary Beth Walsh,,REP,3476
113th  Assembly District,Christopher H. Boyark,,REP,1594
113th  Assembly District,Gerard Moser,,REP,981
116th  Assembly District,John Byrne,,REP,1848
116th  Assembly District,Russell J. Finley,,REP,732
116th  Assembly District,William J. Sheridan,,REP,1798
118th  Assembly District,Marc W. Butler,,REP,5595
118th  Assembly District,Patrick Vincent,,REP,2877
127th  Assembly District,Michael J. Becallo,,REP,864
127th  Assembly District,Vincent Giordano,,REP,913
133rd  Assembly District,Bill Nojay,,REP,2848
133rd  Assembly District,Richard B. Milne,,REP,1820
135th  Assembly District,Mark C. Johns,OPP. TO BALLOT,WOR,13
135th  Assembly District,Dorothy A. Styk,OPP. TO BALLOT,WOR,13
138th  Assembly District,Harry B. Bronson,,DEM,2905
138th  Assembly District,Rachel A. Barnhart,,DEM,2368
138th  Assembly District,Peter Vazquez,,REP,930
138th  Assembly District,Bob Zinck,,REP,933
140th  Assembly District,Anthony Baney,,GRE,29
140th  Assembly District,Danielle M. Rotolo,,GRE,9
143rd  Assembly District,Kristy L. Mazurek,,DEM,1496
143rd  Assembly District,Monica P. Wallace,,DEM,4430
146th  Assembly District,Douglas B. Lippert,,CON,70
146th  Assembly District,Raymond W. Walter,,CON,162
146th  Assembly District,Steven G. Meyer,OPP. TO BALLOT,GRE,9
146th  Assembly District,William P. Kracker,,WOR,8
146th  Assembly District,Steven G. Meyer,,WOR,34
146th  Assembly District,Raymond W. Walter,,IND,147
146th  Assembly District,Rachel L. Obenauer,,IND,90
146th  Assembly District,Steven Meyer,OPP. TO BALLOT,REF,1
150th  Assembly District,Jason Perdue,OPP. TO BALLOT,REF,13
